공상: ㄱㅗㅇㅅㅏㅇ
공석: ㄱㅗㅇㅅㅓㄱ
공설: ㄱㅗㅇㅅㅓㄹ
공세: ㄱㅗㅇㅅㅓㅣ
공손: ㄱㅗㅇㅅㅗㄴ
공술: ㄱㅗㅇㅅㅜㄹ
공습: ㄱㅗㅇㅅㅡㅂ
공식: ㄱㅗㅇㅅㅣㄱ
공신: ㄱㅗㅇㅅㅣㄴ
공안: ㄱㅗㅇㅇㅏㄴ
공약: ㄱㅗㅇㅇㅑㄱ
공양: ㄱㅗㅇㅇㅑㅇ
공언: ㄱㅗㅇㅇㅓㄴ
공업: ㄱㅗㅇㅇㅓㅂ
공연: ㄱㅗㅇㅇㅕㄴ
공영: ㄱㅗㅇㅇㅕㅇ
공예: ㄱㅗㅇㅇㅕㅣ
공용: ㄱㅗㅇㅇㅛㅇ
공익: ㄱㅗㅇㅇㅣㄱ
공인: ㄱㅗㅇㅇㅣㄴ
공작: ㄱㅗㅇㅈㅏㄱ
공장: ㄱㅗㅇㅈㅏㅇ
공적: ㄱㅗㅇㅈㅓㄱ
공전: ㄱㅗㅇㅈㅓㄴ
공정: ㄱㅗㅇㅈㅓㅇ
공제: ㄱㅗㅇㅈㅓㅣ
공존: ㄱㅗㅇㅈㅗㄴ
공중: ㄱㅗㅇㅈㅜㅇ
공증: ㄱㅗㅇㅈㅡㅇ
공직: ㄱㅗㅇㅈㅣㄱ
공짜: ㄱㅗㅇㅈㅈㅏ
공채: ㄱㅗㅇㅊㅏㅣ
공천: ㄱㅗㅇㅊㅓㄴ
공출: ㄱㅗㅇㅊㅜㄹ
공통: ㄱㅗㅇㅌㅗㅇ
공판: ㄱㅗㅇㅍㅏㄴ
공평: ㄱㅗㅇㅍㅕㅇ
공학: ㄱㅗㅇㅎㅏㄱ
공항: ㄱㅗㅇㅎㅏㅇ
공해: ㄱㅗㅇㅎㅏㅣ
공헌: ㄱㅗㅇㅎㅓㄴ
공화: ㄱㅗㅇㅎㅗㅏ
공훈: ㄱㅗㅇㅎㅜㄴ
곶감: ㄱㅗㅈㄱㅏㅁ
과격: ㄱㅗㅏㄱㅕㄱ
과녁: ㄱㅗㅏㄴㅕㄱ
